location,Project.ID,Project.Activity.ID,Activity.ID,Site.IDs,Start.date,End.date,Description,Status,Attribution,Latitude,Longitude,Assessor_name,Date.record.entered,Assessment.date,Assessment.date.accuracy,assessmentPeriodStartDate,assessmentPeriodStartDateAccuracy,Assessment.end.date,Assessment.end.date.accuracy,Overall.Condition.Rating,disturbancePercentTotal,Comments,Condition.Rating.Upper,Condition.Rating.Lower,Condition.Element.Native.species.diversity.and.composition,Condition.Element.Life.form.diversity,Condition.Element.Vegetation.age.and.structure,Condition.Element.Nativeness,Condition.Element.Groundcover,Pct.Disturbance.contrib.Invasive.flora,Pct.Disturbance.contrib.Invasive.fauna,Pct.Disturbance.contrib.Native.fauna.grazing,Pct.Disturbance.contrib.Feral.livestock.grazing,Pct.Disturbance.contrib.Disease,Pct.Disturbance.contrib.Veg.clearance.fragmentation,Pct.Disturbance.contrib.Fire.regime.change,Pct.Disturbance.contrib.Climate.change,Pct.Disturbance.contrib.Nutrient.enrichment,Pct.Disturbance.contrib.Soil.degradation.deposition,Pct.Disturbance.contrib.Hydrological.change,decimalLatitude,decimalLongitude
09aa22f3-f47b-42d2-9f65-4e60a009323c,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,5a1e25e4-3eb0-42ee-9b1b-eec9a493c88f,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,21,31/10/2018,11/10/2018,Accurate to day,NA,NA,NA,NA,0.8,NA,NA,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,-34.09819666,149.2486668
0a058d58-4cb7-4f16-b41e-e85ebb96648b,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,22c9192a-4270-4ce0-a337-876fdfe6af30,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,26,2/11/2018,1/07/2018,Accurate to day,NA,NA,2/11/2018,Accurate to day,0.95,NA,NA,1,0.9,0.9,1,1,0.9,1,0,0,0,0,0,0,0,0,0,0,0,-37.74268859,149.4922328
0a40616a-4b2c-4955-a1c0-d9e0d8088288,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,7495acf5-5dd7-4b53-a584-136b314be763,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,26,2/11/2018,2/07/2018,Accurate to day,NA,NA,2/11/2018,Accurate to day,0.95,NA,NA,1,0.8,1,1,0.95,0.95,1,0,0,0,0,0,0,0,0,0,0,0,-37.58320461,149.7221303
0e0f47b0-0778-4a80-b0ee-224f4017d6bf,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,ace329f5-6357-4141-aeea-2ad0f6de3c91,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,26,2/11/2018,2/11/2009,Accurate to day,NA,NA,2/11/2018,NA,1,NA,NA,1,0.9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-38.25584073,144.4398308
0e5e4b01-0eec-4975-a29b-3bb720e8d6a6,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,a38a67fa-2b11-4ec3-8a91-091e65c43e46,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,9,9/11/2018,1/09/2017,Accurate to month,NA,NA,1/09/2017,Accurate to month,0.6,100,NA,0.8,0.5,0.6,0.7,0.7,0.7,0.5,10,15,50,20,0,0,0,0,0,5,0,-34.47831475,139.927808
0f045a68-a8fc-460a-952a-36f2e7145616,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,3d7ec09b-5221-4856-a427-2c9b7f75e77b,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,20,9/11/2018,9/11/2018,Accurate to day,NA,NA,9/11/2018,Accurate to day,0,100,NA,0,0,0,0,0,0,0,10,0,0,0,0,90,0,0,0,0,0,-29.61967286,149.655118
0ff0f6af-f161-4fae-bee5-f407c0fca1c7,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,fbb9b567-3dcc-4119-b01b-404507e27da8,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,28,4/11/2018,4/11/2018,Accurate to day,NA,NA,4/11/2018,Accurate to day,0.4,130,"Remnant on hill with high value mature trees but very degraded otherwise (few natives in ground layer, few shrubs, exotic annual dominated, rabbit, soil disturbance). Disturbances add to greater than 100 because invasive flora is a consequence of grazing, nutrient enrichment, soil disturbance. Note this is the ""Rockfield"" site of the image also scored.",0.5,0.3,0.2,0.3,0.3,0.2,0.8,50,10,0,20,0,20,0,0,20,10,0,-34.54861253,148.7295091
10c2a033-872d-4ab1-ba12-dde8972ceb1d,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,0cdd2d65-5472-4650-bc2d-ca3b20bcc935,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,20,9/11/2018,1/01/2001,Accurate to day,NA,NA,9/11/2018,Accurate to day,0,100,NA,0.05,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,-35.14479251,141.6820908
13a8d39b-1503-45e2-8e59-c693d7ab81f1,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,fa6047f3-47e2-4a77-b8c8-173c5db67022,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,14,29/10/2018,12/06/2016,Accurate to day,NA,NA,12/06/2016,Accurate to day,0.7,100,Asterbla spp grassland on clay soils. Invasive flora includes Censhrus cillaris and Passiflora foetida,0.8,0.5,0.9,0.8,0.8,0.6,0.9,90,0,0,0,0,0,10,0,0,0,0,-17.4148667,124.9459594
141a70ff-ce7e-4d15-a42f-c1eb70deedc9,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,2fbcb614-21ea-403a-960a-511e83425f78,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,20,9/11/2018,8/10/2016,Accurate to month,NA,NA,8/10/2016,Accurate to month,0.4,100,NA,0.6,0.3,0.3,0.2,0.2,0.3,0.4,20,0,15,15,0,30,0,0,10,10,0,-36.52760518,144.4167155
152eff3c-490a-43b6-b7d0-57eda8a1aa06,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,6e9ef181-33d4-4a5e-9185-6e69f0005015,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,7,2/11/2018,1/10/2015,Accurate to month,NA,NA,1/10/2016,Accurate to month,0.3,100,NA,0.4,0.2,0.3,0.4,0.1,0.4,0.8,20,0,0,40,0,40,0,0,0,0,0,-30.57265815,151.7598367
161dd248-9371-4d56-9d08-c3fcab7297d6,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,0d6bc452-5c39-49d3-a18b-f20c9f0786b9,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,7,30/10/2018,1/09/2015,Accurate to month,NA,NA,1/09/2016,Accurate to month,0.5,100,NA,0.6,0.4,0.6,0.6,0.5,0.6,0.9,30,0,0,40,0,30,0,0,0,0,0,-30.1164186,153.1652499
163794ee-74ca-4325-bbc1-2fa57d74db85,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,f69f0b2d-2b7b-47f4-bd48-549702ab8ea2,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,21,31/10/2018,30/10/2018,Accurate to day,NA,NA,NA,NA,0.8,NA,NA,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,-35.24762164,149.1785967
1667bba0-9aa8-433d-bb92-ba7ac5d02bd8,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,140814ec-0a9c-4189-a8b8-65a2f82bcf85,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,8,13/03/2018,1/01/2017,Accurate to year,NA,NA,1/01/2017,Accurate to year,1,NA,Part of E. salubris chronosequence of Carl Gosper et al. CSIRO/DBCA,NA,NA,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-30.12684806,118.5077074
16bdf54d-76e7-4002-a61f-620685c180ca,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,c2e92b18-ad40-49f6-ab58-2d85cbb0a0c3,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,14,6/11/2018,14/06/2016,Accurate to day,NA,NA,14/06/2016,Accurate to day,0.8,100,Sandy plot in a swale in widely spaced dunefield that runs north west to south east. 1.2km to the dune on north eastern edge. Dune just to the south west of the site. 1 degree slope to the north east to centre of the swale. Burnt 2-5 years- some dead material in ground layer. Grazing effect is low- some large camels foot pads through the site. Introduced plat species effect is nil.  Homogeneity- faint access track to the south west of the site. Community continues 1.2m to the north to dune and 15m to the south.,0.9,0.7,0.95,0.7,0.7,0.9,0.9,0,0,0,100,0,0,0,0,0,0,0,-19.81202104,121.4746177
1a1fddf5-5302-4f58-a9df-4d5aedd9bc56,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,9d779d44-9df2-43be-bf07-076106ed4922,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,14,5/11/2018,4/09/2016,Accurate to day,NA,NA,4/09/2016,Accurate to day,0.4,100,Eucalyptus rudis subsp. rudis mid open forest with isolated Corymbia calophylla. Mid stratum is a isolated shrubs of Acacia dentifera. Ground stratum is a low forbland to low fernalnd dominated by Oxalis pes-caprae and Pteridium esculentum subsp. escule. Changed flow regimes in Serpentine river due to dam upstream.,0.6,0.3,0.3,0.6,0.3,0.3,0.9,90,0,0,0,0,0,0,0,0,0,10,-32.33689492,115.9144896
1a59d36d-f3cb-45ed-8c0d-520287133c96,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,b95390b8-7291-4d53-b68c-62aefb3a21ea,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,26,2/11/2018,2/11/2016,Accurate to day,NA,NA,2/11/2018,Accurate to day,0.5,100,NA,0.6,0.4,0.7,0.3,0.2,0.8,0.95,20,0,0,20,0,55,0,0,0,0,5,-38.34530639,145.1416272
1b8006b4-68fc-4dd9-b35e-5358a4eaf088,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,b980529f-7097-4c57-8370-401957dafb7c,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,4,3/10/2018,1/01/2015,Accurate to year,NA,NA,3/10/2018,Accurate to year,0.5,100,"Active TSR. Remnant woodland on crappy soils from central west fold belt. Heavily grazed in the past, some weeds, no fire regime.",0.6,0.4,0.7,0.3,0.4,0.8,0.5,20,0,0,70,0,0,10,0,0,0,0,-32.79947188,149.9960652
1bb34734-0154-446d-869f-17457ec9db65,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,0e05a236-df5d-425a-bb45-3de039e52ff6,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,25,21/09/2018,14/09/2016,Accurate to day,NA,NA,14/09/2016,Accurate to day,0.4,100,This is a 20 m by 5 m wide site running parallel to the road within the road reserve.,0.5,0.3,0.3,0.3,0.3,0.3,0.3,60,0,10,10,0,0,0,0,10,10,0,-34.83122608,143.0806495
1df24b7a-ca9c-470a-8137-ccbef1868354,405fdfe2-c22c-46c6-806d-cc7f644a0824,e0ce9fcc-77f2-4349-825f-9ea442c1c239,3ee928a7-32ea-488d-84f1-311fbc870e7e,25b665a4-2f1c-4def-9791-8e0183b5d669,27/10/2016,NA,Assessment of the condition of sites,active,"Commonwealth Department of the Environment and Energy. (2018) Site Condition Assessment dataset download. Retrieved from https://biocollect.ala.org.au/bioActivity/projectRecords/405fdfe2-c22c-46c6-806d-cc7f644a0824. 12/11/2018, 09:47.",NA,NA,14,6/11/2018,17/03/2014,Accurate to day,NA,NA,17/03/2014,Accurate to day,0.8,100,Grazing effect is low to minimal. Fire- some scars on Eucalyptus tetrodonta and Eucalyptus miniata. Check with Bushfires NT plot data (site is Co-located with Bushfires Leaf fall plot). No introduced species noted. Site slopes more steeply to SW corner averaging 3 degrees through the site and 5 degrees at south west corner where gully is forming. Surface strew is a mix of cobbles and boulders mostly sandstone but possibly also some granite. Climate: At the end of wet season but soil surface is quite dry. On a plateau above Daly River Basin which drops away to the west.,0.9,0.7,0.9,0.9,0.9,0.9,0.9,0,85,0,0,0,0,15,0,0,0,0,-13.96238914,131.6743934
